Prefix	Baseline	000	001	010	011	100	101	110	111
ENSG00000149212	54	40	13	1	0	0	0	0	0
ENSG00000149541	13	11	2	0	0	0	0	0	0
ENSG00000152193	12	8	4	0	0	0	0	0	0
ENSG00000152763	130	118	12	0	0	0	0	0	0
ENSG00000152785	529	448	72	2	6	1	0	0	0
ENSG00000152931	9	9	0	0	0	0	0	0	0
ENSG00000152969	57	52	5	0	0	0	0	0	0
ENSG00000154328	9	8	1	0	0	0	0	0	0
ENSG00000156218	66	55	10	1	0	0	0	0	0
ENSG00000158109	16	15	1	0	0	0	0	0	0
ENSG00000158270	839	747	83	3	4	2	0	0	0
ENSG00000158482	78	63	15	0	0	0	0	0	0
ENSG00000158555	121	100	19	2	0	0	0	0	0
ENSG00000158571	93	83	9	1	0	0	0	0	0
ENSG00000158623	22	22	0	0	0	0	0	0	0
ENSG00000159596	215	185	27	0	2	1	0	0	0
ENSG00000160213	53	51	0	2	0	0	0	0	0
ENSG00000160993	29	19	8	0	2	0	0	0	0
ENSG00000160999	106	91	15	0	0	0	0	0	0
ENSG00000161551	301	262	38	1	0	0	0	0	0
ENSG00000163017	11	10	1	0	0	0	0	0	0
ENSG00000163207	261	236	20	4	1	0	0	0	0
ENSG00000163349	5	4	1	0	0	0	0	0	0
ENSG00000163584	41	41	0	0	0	0	0	0	0
ENSG00000164096	14	13	1	0	0	0	0	0	0
ENSG00000164167	84	77	7	0	0	0	0	0	0
ENSG00000164329	103	92	11	0	0	0	0	0	0
ENSG00000164591	329	285	43	0	1	0	0	0	0
ENSG00000164975	57	49	7	0	1	0	0	0	0
ENSG00000165355	37	36	1	0	0	0	0	0	0
ENSG00000165487	32	28	4	0	0	0	0	0	0
ENSG00000165699	24	6	16	1	1	0	0	0	0
ENSG00000165995	39	37	1	1	0	0	0	0	0
ENSG00000166167	25	23	2	0	0	0	0	0	0
ENSG00000166669	74	66	8	0	0	0	0	0	0
ENSG00000166922	36	36	0	0	0	0	0	0	0
ENSG00000167178	423	364	54	0	3	2	0	0	0
ENSG00000168158	23	20	3	0	0	0	0	0	0
ENSG00000168398	494	426	65	1	2	0	0	0	0
ENSG00000168779	240	193	43	2	1	1	0	0	0
ENSG00000168785	177	160	17	0	0	0	0	0	0
ENSG00000169129	467	395	72	0	0	0	0	0	0
ENSG00000169641	42	37	5	0	0	0	0	0	0
ENSG00000169862	1733	1458	265	5	3	1	1	0	1
ENSG00000170545	141	131	9	1	0	0	0	0	0
ENSG00000171103	123	121	2	0	0	0	0	0	0
ENSG00000171467	11	10	1	0	0	0	0	0	0
ENSG00000172183	9	9	0	0	0	0	0	0	0
ENSG00000172361	34	30	4	0	0	0	0	0	0
ENSG00000172426	7	6	1	0	0	0	0	0	0
ENSG00000172888	12	12	0	0	0	0	0	0	0
ENSG00000173110	107	84	22	1	0	0	0	0	0
ENSG00000174514	16	16	0	0	0	0	0	0	0
ENSG00000174827	95	76	17	0	2	0	0	0	0
ENSG00000175505	107	77	28	1	0	0	1	0	1
ENSG00000176261	69	60	9	0	0	0	0	0	0
ENSG00000176593	59	51	6	2	0	0	0	0	0
ENSG00000177410	20	17	2	0	1	0	0	0	0
ENSG00000177602	24	24	0	0	0	0	0	0	0
ENSG00000178381	113	103	2	8	0	0	0	0	0
ENSG00000178585	41	39	2	0	0	0	0	0	0
ENSG00000178950	14	13	1	0	0	0	0	0	0
ENSG00000179023	12	11	1	0	0	0	0	0	0
ENSG00000179632	54	49	5	0	0	0	0	0	0
ENSG00000180764	28	27	1	0	0	0	0	0	0
ENSG00000180834	79	65	13	1	0	0	0	0	0
ENSG00000181450	147	130	16	1	0	0	0	0	0
ENSG00000181819	35	33	2	0	0	0	0	0	0
ENSG00000182512	142	124	15	0	2	1	0	0	0
ENSG00000183308	40	24	16	0	0	0	0	0	0
ENSG00000183696	38	34	4	0	0	0	0	0	0
ENSG00000183814	30	24	6	0	0	0	0	0	0
ENSG00000184378	20	20	0	0	0	0	0	0	0
ENSG00000184678	46	37	9	0	0	0	0	0	0
ENSG00000184916	68	64	4	0	0	0	0	0	0
ENSG00000185404	30	27	3	0	0	0	0	0	0
ENSG00000185507	34	33	1	0	0	0	0	0	0
ENSG00000185567	374	321	48	1	2	2	0	0	0
ENSG00000185838	31	30	1	0	0	0	0	0	0
ENSG00000186222	15	14	1	0	0	0	0	0	0
ENSG00000186642	166	144	17	3	2	0	0	0	0
ENSG00000186952	80	79	1	0	0	0	0	0	0
ENSG00000187122	193	170	22	0	1	0	0	0	0
ENSG00000187627	13	12	1	0	0	0	0	0	0
ENSG00000187988	16	14	1	0	1	0	0	0	0
ENSG00000188316	20	19	1	0	0	0	0	0	0
ENSG00000188931	24	23	1	0	0	0	0	0	0
ENSG00000189233	138	118	19	1	0	0	0	0	0
ENSG00000196169	422	354	60	6	2	0	0	0	0
ENSG00000196233	21	21	0	0	0	0	0	0	0
ENSG00000196453	78	72	6	0	0	0	0	0	0
ENSG00000197157	7	6	1	0	0	0	0	0	0
ENSG00000197410	292	237	55	0	0	0	0	0	0
ENSG00000197714	42	35	7	0	0	0	0	0	0
ENSG00000197982	59	40	19	0	0	0	0	0	0
ENSG00000198315	11	10	0	1	0	0	0	0	0
ENSG00000198632	1	1	0	0	0	0	0	0	0
ENSG00000200182	29	29	0	0	0	0	0	0	0
